"UserName","RuleName","Enabled","Priority","RuleIdentity","StopProcessingRules","CopyToFolder","MoveToFolder","RedirectTo","ForwardTo","ForwardAsAttachmentTo","ApplyCategory","MarkImportance","MarkAsRead","DeleteMessage","SoftDeleteMessage","From","SubjectContainsWords","SubjectOrBodyContainsWords","BodyContainsWords","HasAttachment","Description","InError","ErrorType"
"charles.taylor@bonacu.onmicrosoft.com","Office365Alerts@microsoft.com","True","1","3296353452258492417","True",,,,,,"","High","False","False","False","""Office365Alerts@microsoft.com"" [SMTP:Office365Alerts@microsoft.com]","","","","False","If the message:
	the message was received from 'Office365Alerts@microsoft.com'
Take the following actions:
	mark the message as High importance
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","IT invoices","True","1","3345287221547630593","True",,,,"""invoice@bonacu.onmicrosoft.com"" [SMTP:invoice@bonacu.onmicrosoft.com]",,"",,"False","False","False",,"","invoice","","False","If the message:
	the message includes specific words in the subject or body 'invoice'
Take the following actions:
	forward the message to 'invoice@bonacu.onmicrosoft.com'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","United Airlines","True","2","3273229627509702657","True",,"travel",,,,"",,"False","False","False",,"","United Airlines","","False","If the message:
	the message includes specific words in the subject or body 'United Airlines'
Take the following actions:
	move the message to folder 'travel'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","DocuSign","True","3","3201172033471774721","True",,,,,,"","High","False","False","False",,"","DocuSign","","False","If the message:
	the message includes specific words in the subject or body 'DocuSign'
Take the following actions:
	mark the message as High importance
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","Move to junk","True","4","3129114439433846785","True",,"Ongewenste e-mail",,,,"",,"False","False","False",,"","Accepted:","","False","If the message:
	the message includes specific words in the subject or body 'Accepted:'
Take the following actions:
	move the message to folder 'Ongewenste e-mail'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","Support","True","5","3057056845395918849","True",,,,,,"","Normal","False","False","False","""support@bonacu.onmicrosoft.com"" [SMTP:support@bonacu.onmicrosoft.com]","","","","False","If the message:
	the message was received from 'support@bonacu.onmicrosoft.com'
Take the following actions:
	mark the message as Normal importance
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","yira move","True","6","2984999251357990913","True",,"YIRA",,,,"",,"False","False","False","""*@jira.com"" [SMTP:*@jira.com]","","","","False","If the message:
	the message was received from '*@jira.com'
Take the following actions:
	move the message to folder 'YIRA'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","Uber","True","7","2912941657320062977","True",,"Ongewenste e-mail",,,,"",,"False","False","False","""*@uber.com"" [SMTP:*@uber.com]","","","","False","If the message:
	the message was received from '*@uber.com'
Take the following actions:
	move the message to folder 'Ongewenste e-mail'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","IT tickets","True","8","2840884063282135041","True",,"IT Tickets",,,,"",,"False","False","False",,"","Ticket","","False","If the message:
	the message includes specific words in the subject or body 'Ticket'
Take the following actions:
	move the message to folder 'IT Tickets'
	and stop processing more rules on this message
","False","None"
"garciad@bonacu.onmicrosoft.com","DevOps Alert Forward	","True","9","14700031758225637377","True",,,,"""devops@bonacu.onmicrosoft.com"" [SMTP:devops@bonacu.onmicrosoft.com]",,"",,"False","False","False","""ci-cd@builds.com"" [SMTP:ci-cd@builds.com]","","","","False","If the message:
	the message was received from 'ci-cd@builds.com'
Take the following actions:
	forward the message to 'devops@bonacu.onmicrosoft.com'
	and stop processing more rules on this message
","False","None"
