"RoleName","UserPrincipalName","DisplayName","AssignmentType","SourceType","SourceName","OnPremisesSynced","AssignmentStatus","StartDateTime","EndDateTime","DirectoryScopeId"
"Global Administrator","davism@bonacu.onmicrosoft.com","Mary Davis","PIM Active","Direct","N/A","False","Active","4/15/2025 12:53:27 PM","10/12/2025 12:53:14 PM","/"
"Global Administrator","charles.taylor@bonacu.onmicrosoft.com","Charles Taylor","PIM Active","Direct","N/A","False","Active","4/15/2025 7:53:59 AM",,"/"
"Exchange Administrator","jthomas@bonacu.onmicrosoft.com","James Thomas","PIM Active","Direct","N/A","False","Active","4/15/2025 8:28:19 AM",,"/"
"Application Administrator","jthomas@bonacu.onmicrosoft.com","James Thomas","PIM Active","Direct","N/A","False","Active","4/15/2025 8:27:58 AM",,"/"
"Global Reader","curt@bonacu.onmicrosoft.com","curt","PIM Active","Direct","N/A","False","Active","2/14/2025 4:07:24 PM",,"/"
"Global Reader","testuserjoey@bonacu.onmicrosoft.com","testuserjoey","PIM Active","Direct","N/A","False","Active","1/9/2025 2:56:44 PM",,"/"
"Global Administrator","FortunaHodan@bonacu.onmicrosoft.com","Administrator","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"Global Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"Global Administrator","Korstiaan@bonacu.onmicrosoft.com","Korstiaan","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"Cloud Application Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"User Administrator","user-creation@bonacu.onmicrosoft.com","user-creation","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"Security Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active","4/30/2025 2:45:28 PM",,"/"
"Global Administrator","garciad@bonacu.onmicrosoft.com","David Garcia","PIM Eligible","Direct","N/A","False","Eligible","4/15/2025 7:21:48 AM",,"/"
"Guest Inviter","alina_fern@bonacu.onmicrosoft.com","alina_fern","PIM Eligible","Direct","N/A","False","Eligible","4/16/2025 7:33:44 AM",,"/"
"Application Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Eligible","Direct","N/A","False","Eligible","4/26/2024 2:23:00 PM",,"/"
"Application Developer","devtech.drew@bonacu.onmicrosoft.com","devtech.drew","PIM Eligible","Direct","N/A","False","Eligible","4/16/2025 7:50:33 AM",,"/"
"Cloud Application Administrator","FortunaHodan@bonacu.onmicrosoft.com","Administrator","PIM Eligible","Direct","N/A","False","Eligible","5/29/2024 12:01:13 PM",,"/3f54ebab-2bd1-488c-87dd-d6f00256dca3"
